frame.time,ip.src,ip.dst,ip.proto,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
Apr  1, 2026 21:29:26.656113093 PKT,,,,,,,
Apr  1, 2026 21:29:27.097725420 PKT,172.64.148.235,192.168.100.39,6,443,56006,,
Apr  1, 2026 21:29:27.098194099 PKT,192.168.100.39,172.64.148.235,6,56006,443,,
Apr  1, 2026 21:29:27.902397769 PKT,172.64.148.235,192.168.100.39,6,443,56006,,
Apr  1, 2026 21:29:27.902398098 PKT,192.168.100.1,239.255.255.250,17,,,60273,1900
Apr  1, 2026 21:29:27.902398184 PKT,192.168.100.1,239.255.255.250,17,,,60273,1900
Apr  1, 2026 21:29:27.902398269 PKT,104.18.39.21,192.168.100.39,6,443,44332,,
Apr  1, 2026 21:29:27.902597263 PKT,192.168.100.39,104.18.39.21,6,44332,443,,
Apr  1, 2026 21:29:27.971888762 PKT,192.168.100.39,172.64.155.209,6,46978,443,,
Apr  1, 2026 21:29:28.540810527 PKT,192.168.100.39,104.26.6.95,6,55790,443,,
Apr  1, 2026 21:29:28.543831367 PKT,104.18.39.21,192.168.100.39,6,443,44332,,
Apr  1, 2026 21:29:28.878210186 PKT,,,,,,,
Apr  1, 2026 21:29:28.973015073 PKT,,,,,,,
Apr  1, 2026 21:29:28.996274452 PKT,104.26.6.95,192.168.100.39,6,443,55790,,
Apr  1, 2026 21:29:28.996275061 PKT,192.168.100.135,224.0.0.251,17,,,5353,5353
Apr  1, 2026 21:29:28.996275499 PKT,,,,,,5353,5353
Apr  1, 2026 21:29:29.095034037 PKT,104.26.6.95,192.168.100.39,6,443,55790,,
Apr  1, 2026 21:29:29.095034812 PKT,104.26.6.95,192.168.100.39,6,443,55790,,
Apr  1, 2026 21:29:29.095035273 PKT,104.26.6.95,192.168.100.39,6,443,55790,,
Apr  1, 2026 21:29:29.095035479 PKT,192.168.100.1,239.255.255.250,17,,,60273,1900
Apr  1, 2026 21:29:29.095300657 PKT,192.168.100.39,104.26.6.95,6,55790,443,,
Apr  1, 2026 21:29:29.100747180 PKT,192.168.100.39,104.26.6.95,6,55790,443,,
Apr  1, 2026 21:29:29.476559715 PKT,104.26.6.95,192.168.100.39,6,443,55790,,
Apr  1, 2026 21:29:29.476560325 PKT,192.168.100.1,239.255.255.250,17,,,60273,1900
Apr  1, 2026 21:29:30.039664815 PKT,192.168.100.135,239.255.255.250,17,,,53556,1900
Apr  1, 2026 21:29:30.432347841 PKT,,,,,,,
Apr  1, 2026 21:29:30.435248297 PKT,,,,,,,
Apr  1, 2026 21:29:30.435248791 PKT,192.168.100.135,239.255.255.250,17,,,53556,1900
Apr  1, 2026 21:29:30.592848000 PKT,192.168.100.39,157.240.227.60,6,56922,5222,,
Apr  1, 2026 21:29:31.068123262 PKT,192.168.100.135,239.255.255.250,17,,,53556,1900
Apr  1, 2026 21:29:31.068301363 PKT,157.240.227.60,192.168.100.39,6,5222,56922,,
Apr  1, 2026 21:29:31.068301667 PKT,157.240.227.60,192.168.100.39,6,5222,56922,,
Apr  1, 2026 21:29:31.068370607 PKT,192.168.100.39,157.240.227.60,6,56922,5222,,
Apr  1, 2026 21:29:32.799323322 PKT,192.168.100.39,192.168.100.1,17,,,60760,53
Apr  1, 2026 21:29:32.840607074 PKT,192.168.100.1,192.168.100.39,17,,,53,60760
Apr  1, 2026 21:29:32.847637185 PKT,192.168.100.39,142.251.38.3,17,,,59806,443
Apr  1, 2026 21:29:33.054031268 PKT,142.251.38.3,192.168.100.39,17,,,443,59806
Apr  1, 2026 21:29:33.080035297 PKT,192.168.100.39,142.251.38.3,17,,,59806,443
Apr  1, 2026 21:29:33.128033707 PKT,142.251.38.3,192.168.100.39,17,,,443,59806
Apr  1, 2026 21:29:33.128034627 PKT,142.251.38.3,192.168.100.39,17,,,443,59806
Apr  1, 2026 21:29:33.128810986 PKT,192.168.100.39,142.251.38.3,17,,,59806,443
Apr  1, 2026 21:29:33.220803486 PKT,142.251.38.3,192.168.100.39,17,,,443,59806
Apr  1, 2026 21:29:34.059882450 PKT,192.168.100.39,74.125.133.188,6,53884,5228,,
Apr  1, 2026 21:29:34.712962300 PKT,74.125.133.188,192.168.100.39,6,5228,53884,,
Apr  1, 2026 21:29:34.712963388 PKT,157.240.227.60,192.168.100.39,6,5222,56922,,
Apr  1, 2026 21:29:34.713072800 PKT,192.168.100.39,157.240.227.60,6,56922,5222,,
Apr  1, 2026 21:29:34.757183149 PKT,192.168.100.108,224.0.0.251,17,,,5353,5353
Apr  1, 2026 21:29:34.757183948 PKT,,,,,,5353,5353
Apr  1, 2026 21:29:34.830686906 PKT,192.168.100.39,157.240.227.60,6,56922,5222,,
Apr  1, 2026 21:29:34.883995558 PKT,192.168.100.39,172.64.155.209,6,36244,443,,
Apr  1, 2026 21:29:34.917623056 PKT,157.240.227.60,192.168.100.39,6,5222,56922,,
Apr  1, 2026 21:29:35.016479980 PKT,172.64.155.209,192.168.100.39,6,443,36244,,
