frame.time,ip.src,ip.dst,ip.proto,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
Apr  1, 2026 21:30:27.639663571 PKT,192.168.100.39,157.240.227.60,6,42928,5222,,
Apr  1, 2026 21:30:27.639878630 PKT,192.168.100.39,157.240.227.60,6,42928,5222,,
Apr  1, 2026 21:30:28.550066130 PKT,192.168.100.39,104.26.6.95,6,55790,443,,
Apr  1, 2026 21:30:29.152971336 PKT,,,,,,,
Apr  1, 2026 21:30:29.603889936 PKT,192.168.100.39,104.18.39.21,6,48048,443,,
Apr  1, 2026 21:30:30.436931170 PKT,192.168.100.39,157.240.227.60,6,42064,443,,
Apr  1, 2026 21:30:30.625812043 PKT,192.168.100.39,192.168.100.1,17,,,60575,53
Apr  1, 2026 21:30:30.626826729 PKT,192.168.100.39,192.168.100.1,17,,,45365,53
Apr  1, 2026 21:30:30.948052195 PKT,192.168.100.39,20.189.173.25,6,51768,443,,
Apr  1, 2026 21:30:31.171926097 PKT,192.168.100.39,104.26.6.95,6,55782,443,,
Apr  1, 2026 21:30:31.972932703 PKT,192.168.100.39,157.240.227.60,6,42928,5222,,
Apr  1, 2026 21:30:32.356000180 PKT,192.168.100.39,104.26.6.95,6,55790,443,,
Apr  1, 2026 21:30:32.484020951 PKT,192.168.100.39,20.189.173.10,6,51132,443,,
Apr  1, 2026 21:30:32.967254279 PKT,192.168.100.39,185.125.190.58,17,,,57801,123
Apr  1, 2026 21:30:33.966178199 PKT,,,,,,,
Apr  1, 2026 21:30:34.090992041 PKT,192.168.100.39,157.240.227.60,17,,,43403,443
Apr  1, 2026 21:30:34.882122124 PKT,192.168.100.85,192.168.100.1,192.168.100.1,192.168.100.85,1,17,,,53,55064
Apr  1, 2026 21:30:35.604057227 PKT,192.168.100.85,192.168.100.1,192.168.100.1,192.168.100.85,1,17,,,53,39350
Apr  1, 2026 21:30:35.663449884 PKT,192.168.100.39,192.168.100.1,17,,,45365,53
Apr  1, 2026 21:30:35.664032838 PKT,192.168.100.39,192.168.100.1,17,,,60575,53
Apr  1, 2026 21:30:36.416070815 PKT,104.18.39.21,192.168.100.39,6,443,48048,,
Apr  1, 2026 21:30:36.416071738 PKT,157.240.227.60,192.168.100.39,6,443,42064,,
Apr  1, 2026 21:30:36.416072036 PKT,142.251.156.119,192.168.100.39,17,,,443,55693
Apr  1, 2026 21:30:36.416072275 PKT,20.189.173.10,192.168.100.39,6,443,51132,,
Apr  1, 2026 21:30:36.416072523 PKT,20.189.173.10,192.168.100.39,6,443,51132,,
Apr  1, 2026 21:30:36.416072773 PKT,20.189.173.10,192.168.100.39,6,443,51132,,
Apr  1, 2026 21:30:36.416073013 PKT,20.189.173.10,192.168.100.39,6,443,51132,,
Apr  1, 2026 21:30:36.416073271 PKT,157.240.227.60,192.168.100.39,6,443,43338,,
Apr  1, 2026 21:30:36.416245959 PKT,192.168.100.39,20.189.173.10,6,51132,443,,
Apr  1, 2026 21:30:36.416456735 PKT,157.240.227.60,192.168.100.39,6,5222,42928,,
Apr  1, 2026 21:30:36.416457182 PKT,157.240.227.60,192.168.100.39,6,5222,42928,,
Apr  1, 2026 21:30:36.416457453 PKT,157.240.227.60,192.168.100.39,6,5222,42928,,
Apr  1, 2026 21:30:36.416457735 PKT,157.240.227.60,192.168.100.39,6,5222,42928,,
Apr  1, 2026 21:30:36.416458598 PKT,157.240.227.60,192.168.100.39,6,5222,42928,,
Apr  1, 2026 21:30:36.416458911 PKT,172.64.148.235,192.168.100.39,6,443,56006,,
Apr  1, 2026 21:30:36.416614825 PKT,192.168.100.39,157.240.227.60,6,42928,5222,,
Apr  1, 2026 21:30:36.416700349 PKT,192.168.100.39,157.240.227.60,6,42928,5222,,
Apr  1, 2026 21:30:36.416738234 PKT,192.168.100.39,142.251.156.119,17,,,55693,443
Apr  1, 2026 21:30:36.417027791 PKT,172.64.148.235,192.168.100.39,6,443,56006,,
Apr  1, 2026 21:30:36.417028545 PKT,104.26.6.95,192.168.100.39,6,443,55790,,
Apr  1, 2026 21:30:36.417028851 PKT,104.26.6.95,192.168.100.39,6,443,55790,,
Apr  1, 2026 21:30:36.417029194 PKT,104.26.6.95,192.168.100.39,6,443,55790,,
Apr  1, 2026 21:30:36.417029468 PKT,104.26.6.95,192.168.100.39,6,443,55790,,
Apr  1, 2026 21:30:36.417029718 PKT,157.240.227.60,192.168.100.39,17,,,443,43403
Apr  1, 2026 21:30:36.417029985 PKT,157.240.227.60,192.168.100.39,17,,,443,43403
Apr  1, 2026 21:30:36.417095993 PKT,192.168.100.39,172.64.148.235,6,56006,443,,
Apr  1, 2026 21:30:36.417394880 PKT,192.168.100.39,172.64.148.235,6,56006,443,,
Apr  1, 2026 21:30:36.417774441 PKT,192.168.100.39,104.26.6.95,6,55790,443,,
Apr  1, 2026 21:30:36.419960469 PKT,192.168.100.39,157.240.227.60,17,,,43403,443
Apr  1, 2026 21:30:36.420924598 PKT,192.168.100.39,157.240.227.60,17,,,43403,443
Apr  1, 2026 21:30:36.423222267 PKT,104.18.39.21,192.168.100.39,6,443,48048,,
Apr  1, 2026 21:30:36.423223068 PKT,104.18.39.21,192.168.100.39,6,443,44332,,
Apr  1, 2026 21:30:36.423223373 PKT,20.189.173.10,192.168.100.39,6,443,51132,,
Apr  1, 2026 21:30:36.423223622 PKT,192.168.100.1,239.255.255.250,17,,,60273,1900
Apr  1, 2026 21:30:36.423223872 PKT,157.240.227.60,192.168.100.39,6,443,42064,,
Apr  1, 2026 21:30:36.423224122 PKT,192.168.100.1,192.168.100.39,17,,,53,60575
Apr  1, 2026 21:30:36.423224372 PKT,192.168.100.1,192.168.100.39,17,,,53,45365
Apr  1, 2026 21:30:36.423224622 PKT,157.240.227.60,192.168.100.39,6,5222,42928,,
Apr  1, 2026 21:30:36.423332659 PKT,192.168.100.39,20.189.173.10,6,51132,443,,
Apr  1, 2026 21:30:36.423380834 PKT,192.168.100.39,157.240.227.60,6,42064,443,,
Apr  1, 2026 21:30:36.423460877 PKT,192.168.100.39,157.240.227.60,6,42928,5222,,
Apr  1, 2026 21:30:36.423500184 PKT,192.168.100.39,157.240.227.60,6,42928,5222,,
Apr  1, 2026 21:30:36.423597600 PKT,192.168.100.1,239.255.255.250,17,,,60273,1900
Apr  1, 2026 21:30:36.423598016 PKT,172.64.148.235,192.168.100.39,6,443,56006,,
Apr  1, 2026 21:30:36.423598349 PKT,104.26.6.95,192.168.100.39,6,443,55782,,
Apr  1, 2026 21:30:36.423598660 PKT,192.168.100.1,239.255.255.250,17,,,60273,1900
Apr  1, 2026 21:30:36.423598940 PKT,192.168.100.1,239.255.255.250,17,,,60273,1900
Apr  1, 2026 21:30:36.423599293 PKT,157.240.227.60,192.168.100.39,6,5222,42928,,
Apr  1, 2026 21:30:36.423599647 PKT,142.251.156.119,192.168.100.39,17,,,443,55693
Apr  1, 2026 21:30:36.423599974 PKT,104.26.6.95,192.168.100.39,6,443,55790,,
Apr  1, 2026 21:30:36.423654071 PKT,192.168.100.39,172.64.148.235,6,56006,443,,
Apr  1, 2026 21:30:36.423767126 PKT,104.26.6.95,192.168.100.39,6,443,55790,,
Apr  1, 2026 21:30:36.423767563 PKT,185.125.190.58,192.168.100.39,17,,,123,57801
Apr  1, 2026 21:30:36.423767844 PKT,104.18.39.21,192.168.100.39,6,443,44332,,
Apr  1, 2026 21:30:36.423768124 PKT,157.240.227.60,192.168.100.39,17,,,443,43403
Apr  1, 2026 21:30:36.423768396 PKT,192.168.100.108,224.0.0.251,17,,,5353,5353
Apr  1, 2026 21:30:36.423809424 PKT,192.168.100.39,104.26.6.95,6,55790,443,,
Apr  1, 2026 21:30:36.423902585 PKT,192.168.100.39,104.18.39.21,6,44332,443,,
Apr  1, 2026 21:30:36.424955848 PKT,,,,,,5353,5353
Apr  1, 2026 21:30:36.424956411 PKT,157.240.227.60,192.168.100.39,6,5222,42928,,
Apr  1, 2026 21:30:36.425068563 PKT,192.168.100.39,157.240.227.60,6,42928,5222,,
Apr  1, 2026 21:30:36.426388270 PKT,192.168.100.39,104.18.39.21,6,44332,443,,
Apr  1, 2026 21:30:36.426779328 PKT,192.168.100.39,142.251.156.119,17,,,55693,443
Apr  1, 2026 21:30:36.433275479 PKT,192.168.100.39,172.64.155.209,17,,,45844,443
Apr  1, 2026 21:30:36.433411713 PKT,192.168.100.39,172.64.155.209,17,,,45844,443
Apr  1, 2026 21:30:36.433746144 PKT,192.168.100.39,104.26.6.95,6,55790,443,,
Apr  1, 2026 21:30:36.445989165 PKT,192.168.100.39,172.64.155.209,6,36244,443,,
Apr  1, 2026 21:30:36.446060890 PKT,192.168.100.39,172.64.155.209,6,36244,443,,
Apr  1, 2026 21:30:36.446117445 PKT,192.168.100.39,172.64.155.209,6,36244,443,,
Apr  1, 2026 21:30:36.446137297 PKT,192.168.100.39,172.64.155.209,6,36244,443,,
Apr  1, 2026 21:30:36.475644092 PKT,192.168.100.39,172.64.155.209,6,36244,443,,
Apr  1, 2026 21:30:36.475684293 PKT,192.168.100.39,172.64.155.209,6,36244,443,,
Apr  1, 2026 21:30:36.475716920 PKT,192.168.100.39,172.64.155.209,6,36244,443,,
Apr  1, 2026 21:30:36.475728927 PKT,192.168.100.39,172.64.155.209,6,36244,443,,
Apr  1, 2026 21:30:36.481062643 PKT,192.168.100.39,172.64.155.209,6,36244,443,,
Apr  1, 2026 21:30:36.481112305 PKT,192.168.100.39,172.64.155.209,6,36244,443,,
Apr  1, 2026 21:30:36.734566045 PKT,192.168.100.39,172.64.155.209,17,,,45844,443
Apr  1, 2026 21:30:36.797585945 PKT,192.168.100.39,192.168.100.1,17,,,33768,53
Apr  1, 2026 21:30:37.042046198 PKT,192.168.100.1,192.168.100.39,17,,,53,45365
Apr  1, 2026 21:30:37.042047231 PKT,192.168.100.1,192.168.100.39,17,,,53,60575
Apr  1, 2026 21:30:37.042047662 PKT,104.18.39.21,192.168.100.39,6,443,44332,,
Apr  1, 2026 21:30:37.042047905 PKT,172.64.155.209,192.168.100.39,17,,,443,45844
Apr  1, 2026 21:30:37.042131528 PKT,192.168.100.39,192.168.100.1,192.168.100.1,192.168.100.39,1,17,,,53,45365
Apr  1, 2026 21:30:37.042191738 PKT,192.168.100.39,192.168.100.1,192.168.100.1,192.168.100.39,1,17,,,53,60575
Apr  1, 2026 21:30:37.100210753 PKT,192.168.100.85,192.168.100.1,192.168.100.1,192.168.100.85,1,17,,,53,52659
Apr  1, 2026 21:30:37.101764548 PKT,192.168.100.85,192.168.100.1,192.168.100.1,192.168.100.85,1,17,,,53,55504
Apr  1, 2026 21:30:37.105789712 PKT,192.168.100.85,192.168.100.1,192.168.100.1,192.168.100.85,1,17,,,53,60643
Apr  1, 2026 21:30:37.159430710 PKT,172.64.155.209,192.168.100.39,6,443,36244,,
Apr  1, 2026 21:30:37.159431762 PKT,172.64.155.209,192.168.100.39,6,443,36244,,
Apr  1, 2026 21:30:37.159432065 PKT,172.64.155.209,192.168.100.39,6,443,36244,,
Apr  1, 2026 21:30:37.159432313 PKT,172.64.155.209,192.168.100.39,17,,,443,45844
Apr  1, 2026 21:30:37.159432565 PKT,172.64.155.209,192.168.100.39,17,,,443,45844
Apr  1, 2026 21:30:37.159432813 PKT,172.64.155.209,192.168.100.39,17,,,443,45844
Apr  1, 2026 21:30:37.159433063 PKT,172.64.155.209,192.168.100.39,17,,,443,45844
Apr  1, 2026 21:30:37.159433307 PKT,172.64.155.209,192.168.100.39,6,443,36244,,
Apr  1, 2026 21:30:37.159531140 PKT,192.168.100.39,172.64.155.209,6,36244,443,,
Apr  1, 2026 21:30:37.159568661 PKT,192.168.100.39,172.64.155.209,6,36244,443,,
Apr  1, 2026 21:30:37.159740734 PKT,172.64.155.209,192.168.100.39,6,443,36244,,
Apr  1, 2026 21:30:37.159741240 PKT,172.64.155.209,192.168.100.39,6,443,36244,,
Apr  1, 2026 21:30:37.159741546 PKT,172.64.155.209,192.168.100.39,6,443,36244,,
Apr  1, 2026 21:30:37.159741865 PKT,172.64.155.209,192.168.100.39,6,443,36244,,
Apr  1, 2026 21:30:37.159742150 PKT,172.64.155.209,192.168.100.39,6,443,36244,,
Apr  1, 2026 21:30:37.159742471 PKT,104.26.6.95,192.168.100.39,6,443,55790,,
Apr  1, 2026 21:30:37.159742751 PKT,157.240.227.60,192.168.100.39,6,5222,42928,,
Apr  1, 2026 21:30:37.159743893 PKT,157.240.227.60,192.168.100.39,6,5222,42928,,
Apr  1, 2026 21:30:37.159954342 PKT,192.168.100.1,192.168.100.39,17,,,53,33768
Apr  1, 2026 21:30:37.159954703 PKT,172.64.155.209,192.168.100.39,17,,,443,45844
Apr  1, 2026 21:30:37.160028888 PKT,192.168.100.39,157.240.227.60,6,42928,5222,,
Apr  1, 2026 21:30:37.162383619 PKT,192.168.100.39,172.64.155.209,17,,,45844,443
Apr  1, 2026 21:30:37.163850972 PKT,192.168.100.39,172.64.155.209,17,,,45844,443
Apr  1, 2026 21:30:37.176171360 PKT,192.168.100.39,172.64.155.209,17,,,45844,443
