frame.time,ip.src,ip.dst,ip.proto,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
Apr  1, 2026 21:28:38.467645185 PKT,192.168.100.39,104.26.6.95,6,52592,443,,
Apr  1, 2026 21:28:38.700928050 PKT,192.168.100.108,224.0.0.251,17,,,5353,5353
Apr  1, 2026 21:28:38.700928842 PKT,,,,,,5353,5353
Apr  1, 2026 21:28:38.700929206 PKT,172.64.155.209,192.168.100.39,6,443,46978,,
Apr  1, 2026 21:28:38.701182712 PKT,172.64.155.209,192.168.100.39,6,443,46978,,
Apr  1, 2026 21:28:38.701491771 PKT,172.64.155.209,192.168.100.39,6,443,46978,,
Apr  1, 2026 21:28:38.701799620 PKT,172.64.155.209,192.168.100.39,6,443,46978,,
Apr  1, 2026 21:28:38.702222691 PKT,172.64.155.209,192.168.100.39,6,443,46978,,
Apr  1, 2026 21:28:38.704592827 PKT,172.64.155.209,192.168.100.39,6,443,46978,,
Apr  1, 2026 21:28:38.704593375 PKT,172.64.155.209,192.168.100.39,6,443,46978,,
Apr  1, 2026 21:28:38.704593755 PKT,172.64.155.209,192.168.100.39,6,443,46978,,
Apr  1, 2026 21:28:38.704594053 PKT,,,,,,,
Apr  1, 2026 21:28:38.704665536 PKT,192.168.100.39,172.64.155.209,6,46978,443,,
Apr  1, 2026 21:28:38.704734559 PKT,192.168.100.39,172.64.155.209,6,46978,443,,
Apr  1, 2026 21:28:38.704767819 PKT,192.168.100.39,172.64.155.209,6,46978,443,,
Apr  1, 2026 21:28:38.705296326 PKT,,,,,,,
Apr  1, 2026 21:28:38.708821438 PKT,192.168.100.228,224.0.0.251,17,,,5353,5353
Apr  1, 2026 21:28:38.708821910 PKT,,,,,,5353,5353
Apr  1, 2026 21:28:38.708822303 PKT,172.64.148.235,192.168.100.39,6,443,35934,,
Apr  1, 2026 21:28:38.709044007 PKT,192.168.100.39,172.64.148.235,6,35934,443,,
Apr  1, 2026 21:28:38.709826721 PKT,142.251.152.119,192.168.100.39,17,,,443,49698
Apr  1, 2026 21:28:38.709994380 PKT,192.168.100.39,172.64.148.235,6,35934,443,,
Apr  1, 2026 21:28:38.719327424 PKT,192.168.100.39,172.64.155.209,6,46978,443,,
Apr  1, 2026 21:28:39.340910363 PKT,,,,,,,
Apr  1, 2026 21:28:41.891944886 PKT,192.168.100.39,35.190.80.1,6,57118,443,,
Apr  1, 2026 21:28:41.892885690 PKT,192.168.100.39,74.125.133.188,6,44900,5228,,
Apr  1, 2026 21:28:41.892911565 PKT,192.168.100.39,172.64.155.209,6,47002,443,,
Apr  1, 2026 21:28:42.310252091 PKT,,,,,,,
Apr  1, 2026 21:28:42.427922778 PKT,172.64.155.209,192.168.100.39,6,443,46978,,
Apr  1, 2026 21:28:42.427948529 PKT,104.18.39.21,192.168.100.39,6,443,48048,,
Apr  1, 2026 21:28:42.427965500 PKT,192.168.100.39,104.18.39.21,6,48048,443,,
Apr  1, 2026 21:28:42.427989654 PKT,104.26.6.95,192.168.100.39,6,443,52592,,
Apr  1, 2026 21:28:42.427997553 PKT,104.26.6.95,192.168.100.39,6,443,52592,,
Apr  1, 2026 21:28:42.428000867 PKT,104.26.6.95,192.168.100.39,6,443,52592,,
Apr  1, 2026 21:28:42.428004938 PKT,172.64.148.235,192.168.100.39,6,443,35934,,
Apr  1, 2026 21:28:42.428009429 PKT,,,,,,,
Apr  1, 2026 21:28:42.428020369 PKT,192.168.100.135,239.255.255.250,17,,,57945,1900
Apr  1, 2026 21:28:42.428023720 PKT,,,,,,,
Apr  1, 2026 21:28:42.428026274 PKT,192.168.100.136,224.0.0.251,17,,,5353,5353
Apr  1, 2026 21:28:42.428065813 PKT,,,,,,5353,5353
Apr  1, 2026 21:28:42.428081670 PKT,192.168.100.135,239.255.255.250,17,,,57945,1900
Apr  1, 2026 21:28:42.428085721 PKT,192.168.100.135,239.255.255.250,17,,,57945,1900
Apr  1, 2026 21:28:42.428088486 PKT,,,,,,,
Apr  1, 2026 21:28:42.428163193 PKT,192.168.100.39,104.18.39.21,6,48048,443,,
Apr  1, 2026 21:28:42.428299345 PKT,192.168.100.39,104.26.6.95,6,52592,443,,
Apr  1, 2026 21:28:42.431606093 PKT,192.168.100.39,104.26.6.95,6,52592,443,,
Apr  1, 2026 21:28:43.397718584 PKT,104.26.6.95,192.168.100.39,6,443,52592,,
Apr  1, 2026 21:28:43.397719458 PKT,104.18.39.21,192.168.100.39,6,443,48048,,
Apr  1, 2026 21:28:43.397776359 PKT,192.168.100.39,104.26.6.95,6,52592,443,,
Apr  1, 2026 21:28:44.452948102 PKT,192.168.100.39,40.79.189.58,6,35762,443,,
Apr  1, 2026 21:28:44.673947671 PKT,192.168.100.39,157.240.227.60,6,35746,443,,
Apr  1, 2026 21:28:44.713710878 PKT,192.168.100.39,157.240.227.60,17,,,52401,443
Apr  1, 2026 21:28:44.851674538 PKT,192.168.100.39,157.240.227.60,6,33168,443,,
Apr  1, 2026 21:28:44.852856508 PKT,192.168.100.39,192.168.100.1,17,,,60140,53
Apr  1, 2026 21:28:44.858900454 PKT,192.168.100.39,157.240.227.60,6,56922,5222,,
Apr  1, 2026 21:28:44.862902021 PKT,192.168.100.39,172.64.155.209,6,47002,443,,
Apr  1, 2026 21:28:44.862980304 PKT,192.168.100.39,172.64.155.209,6,47014,443,,
Apr  1, 2026 21:28:44.863030750 PKT,192.168.100.39,104.26.6.95,6,52602,443,,
Apr  1, 2026 21:28:44.863267398 PKT,192.168.100.39,172.64.155.209,6,46978,443,,
Apr  1, 2026 21:28:44.863372613 PKT,192.168.100.39,172.64.155.209,6,46998,443,,
Apr  1, 2026 21:28:44.863459048 PKT,192.168.100.39,104.26.6.95,6,52592,443,,
Apr  1, 2026 21:28:44.865096085 PKT,192.168.100.39,20.189.173.25,6,43282,443,,
Apr  1, 2026 21:28:44.865358669 PKT,192.168.100.39,20.189.173.25,6,51768,443,,
Apr  1, 2026 21:28:44.963996583 PKT,192.168.100.39,35.190.80.1,6,57108,443,,
Apr  1, 2026 21:28:45.399910591 PKT,,,,,,,
Apr  1, 2026 21:28:45.399942401 PKT,,,,,,,
Apr  1, 2026 21:28:45.399911580 PKT,,,,,,,
Apr  1, 2026 21:28:45.399990113 PKT,,,,,,,
Apr  1, 2026 21:28:45.404127014 PKT,172.64.155.209,192.168.100.39,6,443,47002,,
Apr  1, 2026 21:28:45.404203710 PKT,192.168.100.39,172.64.155.209,6,47002,443,,
Apr  1, 2026 21:28:45.404536146 PKT,172.64.155.209,192.168.100.39,6,443,47014,,
Apr  1, 2026 21:28:45.404588380 PKT,192.168.100.39,172.64.155.209,6,47014,443,,
Apr  1, 2026 21:28:45.404811818 PKT,104.26.6.95,192.168.100.39,6,443,52592,,
Apr  1, 2026 21:28:45.404894617 PKT,192.168.100.39,104.26.6.95,6,52592,443,,
Apr  1, 2026 21:28:45.405425443 PKT,104.26.6.95,192.168.100.39,6,443,52602,,
Apr  1, 2026 21:28:45.405477365 PKT,192.168.100.39,104.26.6.95,6,52602,443,,
Apr  1, 2026 21:28:45.693315045 PKT,,,,,,,
Apr  1, 2026 21:28:45.859965139 PKT,192.168.100.39,157.240.227.60,6,33168,443,,
Apr  1, 2026 21:28:45.859996832 PKT,192.168.100.39,157.240.227.60,6,56922,5222,,
Apr  1, 2026 21:28:46.156159251 PKT,192.168.100.39,142.251.152.119,17,,,49698,443
Apr  1, 2026 21:28:46.205663967 PKT,192.168.100.39,104.18.39.21,6,48048,443,,
Apr  1, 2026 21:28:46.336901088 PKT,192.168.100.39,192.168.100.1,17,,,46937,53
Apr  1, 2026 21:28:46.349981669 PKT,192.168.100.39,172.64.155.209,6,36218,443,,
Apr  1, 2026 21:28:46.601202885 PKT,192.168.100.39,172.64.155.209,6,36228,443,,
Apr  1, 2026 21:28:46.651399622 PKT,192.168.100.39,172.64.155.209,6,36244,443,,
Apr  1, 2026 21:28:46.865806449 PKT,192.168.100.39,74.125.133.188,6,44900,5228,,
Apr  1, 2026 21:28:46.868772504 PKT,192.168.100.39,74.125.133.188,6,53884,5228,,
Apr  1, 2026 21:28:46.869175038 PKT,192.168.100.39,239.255.255.250,17,,,45048,1900
Apr  1, 2026 21:28:46.883897236 PKT,192.168.100.39,157.240.227.60,6,56922,5222,,
Apr  1, 2026 21:28:46.883921947 PKT,192.168.100.39,157.240.227.60,6,33168,443,,
Apr  1, 2026 21:28:46.916721180 PKT,192.168.100.85,224.0.0.251,17,,,5353,5353
Apr  1, 2026 21:28:46.955033372 PKT,192.168.100.1,192.168.100.39,17,,,53,46937
Apr  1, 2026 21:28:46.990242869 PKT,192.168.100.39,192.168.100.1,17,,,49841,53
Apr  1, 2026 21:28:46.992412848 PKT,192.168.100.39,192.168.100.1,17,,,59811,53
Apr  1, 2026 21:28:47.395888129 PKT,192.168.100.39,172.64.155.209,6,36218,443,,
Apr  1, 2026 21:28:47.518812143 PKT,,,,,,,
Apr  1, 2026 21:28:47.543257368 PKT,172.64.155.209,192.168.100.39,6,443,36218,,
Apr  1, 2026 21:28:47.543257683 PKT,104.18.39.21,192.168.100.39,6,443,48048,,
Apr  1, 2026 21:28:47.543257773 PKT,172.64.148.235,192.168.100.39,6,443,56006,,
Apr  1, 2026 21:28:47.543257845 PKT,157.240.227.60,192.168.100.39,6,443,33168,,
Apr  1, 2026 21:28:47.543257918 PKT,157.240.227.60,192.168.100.39,6,5222,56922,,
Apr  1, 2026 21:28:47.543257989 PKT,192.168.100.1,192.168.100.39,17,,,53,59811
Apr  1, 2026 21:28:47.543258061 PKT,192.168.100.1,192.168.100.39,17,,,53,49841
Apr  1, 2026 21:28:47.543258134 PKT,157.240.227.60,192.168.100.39,6,5222,56922,,
Apr  1, 2026 21:28:47.543304353 PKT,192.168.100.39,172.64.155.209,6,36218,443,,
Apr  1, 2026 21:28:47.543348017 PKT,192.168.100.39,157.240.227.60,6,33168,443,,
Apr  1, 2026 21:28:47.543362212 PKT,192.168.100.39,157.240.227.60,6,56922,5222,,
Apr  1, 2026 21:28:47.543383394 PKT,192.168.100.39,157.240.227.60,6,56922,5222,,
Apr  1, 2026 21:28:47.543417754 PKT,157.240.227.60,192.168.100.39,6,443,33168,,
Apr  1, 2026 21:28:47.543417904 PKT,172.64.155.209,192.168.100.39,6,443,36228,,
Apr  1, 2026 21:28:47.543417978 PKT,172.64.155.209,192.168.100.39,6,443,36244,,
Apr  1, 2026 21:28:47.543418067 PKT,74.125.133.188,192.168.100.39,6,5228,53884,,
Apr  1, 2026 21:28:47.543418167 PKT,74.125.133.188,192.168.100.39,6,5228,44900,,
Apr  1, 2026 21:28:47.543428055 PKT,192.168.100.39,157.240.227.60,6,33168,443,,
Apr  1, 2026 21:28:47.543442647 PKT,192.168.100.39,172.64.155.209,6,36228,443,,
Apr  1, 2026 21:28:47.543455416 PKT,192.168.100.39,172.64.155.209,6,36244,443,,
Apr  1, 2026 21:28:47.543486519 PKT,192.168.100.39,74.125.133.188,6,53884,5228,,
Apr  1, 2026 21:28:47.544064989 PKT,192.168.100.39,172.64.155.209,6,36218,443,,
Apr  1, 2026 21:28:47.544074912 PKT,192.168.100.39,172.64.155.209,6,36218,443,,
Apr  1, 2026 21:28:47.544675889 PKT,192.168.100.39,172.64.148.235,6,56006,443,,
Apr  1, 2026 21:28:47.545127083 PKT,192.168.100.39,192.168.100.1,17,,,40801,53
Apr  1, 2026 21:28:47.545558728 PKT,192.168.100.39,157.240.227.60,6,33168,443,,
Apr  1, 2026 21:28:47.545572587 PKT,192.168.100.39,157.240.227.60,6,33168,443,,
Apr  1, 2026 21:28:47.546497864 PKT,192.168.100.39,157.240.227.60,6,56922,5222,,
Apr  1, 2026 21:28:47.546516179 PKT,192.168.100.39,157.240.227.60,6,56922,5222,,
Apr  1, 2026 21:28:47.547456382 PKT,192.168.100.39,172.64.155.209,6,36228,443,,
Apr  1, 2026 21:28:47.547473451 PKT,192.168.100.39,172.64.155.209,6,36228,443,,
Apr  1, 2026 21:28:47.548362373 PKT,192.168.100.39,172.64.155.209,6,36244,443,,
Apr  1, 2026 21:28:47.548380272 PKT,192.168.100.39,172.64.155.209,6,36244,443,,
Apr  1, 2026 21:28:47.549232833 PKT,192.168.100.39,74.125.133.188,6,53884,5228,,
Apr  1, 2026 21:28:47.549245972 PKT,192.168.100.39,74.125.133.188,6,53884,5228,,
