,precision,recall,f1-score,support
BENIGN,0.9989276960784313,0.9782967445116767,0.988504585533463,19997.0
ATTACK,0.7524244152880776,0.9843283582089553,0.8528936307791788,1340.0
accuracy,0.9786755401415381,0.9786755401415381,0.9786755401415381,0.9786755401415381
macro avg,0.8756760556832545,0.981312551360316,0.9206991081563209,21337.0
weighted avg,0.9834468695208519,0.9786755401415381,0.9799879862284651,21337.0
