,precision,recall,f1-score,support
BENIGN,0.9990786712391871,0.9760964144621693,0.9874538372034198,19997.0
ATTACK,0.7344444444444445,0.9865671641791045,0.8420382165605096,1340.0
accuracy,0.9767539954070394,0.9767539954070394,0.9767539954070394,0.9767539954070394
macro avg,0.8667615578418157,0.9813317893206369,0.9147460268819647,21337.0
weighted avg,0.9824591903419216,0.9767539954070394,0.9783214881542798,21337.0
