feature,importance
min_packet_size,0.13006689
total_bytes,0.12861484
fwd_bytes,0.102033064
max_packet_size,0.096218504
fin_count,0.09228337
fin_ratio,0.05950565
bwd_byte_ratio,0.050630845
syn_count,0.049698107
bwd_bytes,0.049359813
is_short_flow,0.040143024
psh_count,0.032579612
avg_packet_size,0.022641633
psh_ratio,0.021791724
total_packets,0.011687239
flow_packets_per_sec,0.011285083
ack_count,0.011114575
is_idle_flow,0.010702473
fwd_packets,0.010623291
duration,0.010528185
fwd_pkt_ratio,0.009817441
