,precision,recall,f1-score,support
DOS,0.9832775919732442,0.9865771812080537,0.9849246231155779,298.0
DDOS,0.997229916897507,1.0,0.9986130374479889,360.0
PORTSCAN,0.990625,0.9814241486068112,0.9860031104199067,323.0
WEB_ATTACK,0.9889196675900277,0.9916666666666667,0.9902912621359223,360.0
accuracy,0.9903057419835943,0.9903057419835943,0.9903057419835943,0.9903057419835943
macro avg,0.9900130441151948,0.9899169991203829,0.989958008279849,1341.0
weighted avg,0.990307567355361,0.9903057419835943,0.9902998435527817,1341.0
