,precision,recall,f1-score,support
DOS,0.9866666666666667,0.9932885906040269,0.9899665551839465,298.0
DDOS,1.0,1.0,1.0,360.0
PORTSCAN,0.9875776397515528,0.9845201238390093,0.986046511627907,323.0
WEB_ATTACK,0.9888579387186629,0.9861111111111112,0.9874826147426982,360.0
accuracy,0.9910514541387024,0.9910514541387024,0.9910514541387024,0.9910514541387024
macro avg,0.9907755612842206,0.9909799563885368,0.9908739203886379,1341.0
weighted avg,0.991053767520609,0.9910514541387024,0.9910490663743485,1341.0
