frame.time,ip.src,ip.dst,ip.proto,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
Mar 31, 2026 07:59:46.691294029 PKT,192.168.100.39,142.250.186.22,6,59334,443,,
Mar 31, 2026 07:59:46.691331954 PKT,192.168.100.39,142.250.186.22,6,59334,443,,
Mar 31, 2026 07:59:46.736241555 PKT,142.250.186.22,192.168.100.39,6,443,59334,,
Mar 31, 2026 07:59:46.736242429 PKT,142.250.186.22,192.168.100.39,6,443,59334,,
Mar 31, 2026 07:59:46.774364062 PKT,104.26.7.95,192.168.100.39,6,443,44704,,
Mar 31, 2026 07:59:46.848990884 PKT,142.250.186.22,192.168.100.39,6,443,59334,,
Mar 31, 2026 07:59:46.849064888 PKT,192.168.100.39,142.250.186.22,6,59334,443,,
Mar 31, 2026 07:59:46.862051207 PKT,192.168.100.39,142.250.186.22,6,59334,443,,
Mar 31, 2026 07:59:46.862719720 PKT,192.168.100.39,142.250.186.22,6,59334,443,,
Mar 31, 2026 07:59:46.863507076 PKT,192.168.100.39,142.250.186.22,6,59334,443,,
Mar 31, 2026 07:59:46.868836192 PKT,13.69.116.108,192.168.100.39,6,443,34038,,
Mar 31, 2026 07:59:46.900664891 PKT,142.250.186.22,192.168.100.39,6,443,59334,,
Mar 31, 2026 07:59:46.900987794 PKT,142.250.186.22,192.168.100.39,6,443,59334,,
Mar 31, 2026 07:59:46.901332646 PKT,142.250.186.22,192.168.100.39,6,443,59334,,
Mar 31, 2026 07:59:46.901511207 PKT,192.168.100.39,142.250.186.22,6,59334,443,,
Mar 31, 2026 07:59:46.901745628 PKT,192.168.100.39,142.250.186.22,6,59334,443,,
Mar 31, 2026 07:59:46.904725319 PKT,142.250.186.22,192.168.100.39,6,443,59334,,
Mar 31, 2026 07:59:46.905766476 PKT,192.168.100.39,142.250.186.22,6,59334,443,,
Mar 31, 2026 07:59:46.906208462 PKT,192.168.100.39,142.250.186.22,6,59334,443,,
Mar 31, 2026 07:59:46.944578247 PKT,142.250.186.22,192.168.100.39,6,443,59334,,
Mar 31, 2026 07:59:46.950401615 PKT,142.250.186.22,192.168.100.39,6,443,59334,,
Mar 31, 2026 07:59:46.999981108 PKT,192.168.100.39,64.233.167.188,6,51348,5228,,
Mar 31, 2026 07:59:47.240232920 PKT,64.233.167.188,192.168.100.39,6,5228,51348,,
Mar 31, 2026 07:59:47.761911081 PKT,192.168.100.39,192.168.100.1,17,,,52887,53
Mar 31, 2026 07:59:47.762876354 PKT,192.168.100.39,192.168.100.1,17,,,54396,53
Mar 31, 2026 07:59:47.771132232 PKT,192.168.100.1,192.168.100.39,17,,,53,52887
Mar 31, 2026 07:59:47.774989797 PKT,192.168.100.1,192.168.100.39,17,,,53,54396
Mar 31, 2026 07:59:47.775646948 PKT,192.168.100.39,192.168.100.1,17,,,45807,53
Mar 31, 2026 07:59:47.786755773 PKT,192.168.100.39,13.107.246.63,6,47260,443,,
Mar 31, 2026 07:59:47.793775832 PKT,192.168.100.1,192.168.100.39,17,,,53,45807
Mar 31, 2026 07:59:47.833654503 PKT,13.107.246.63,192.168.100.39,6,443,47260,,
Mar 31, 2026 07:59:47.833774069 PKT,192.168.100.39,13.107.246.63,6,47260,443,,
Mar 31, 2026 07:59:47.836301111 PKT,192.168.100.39,13.107.246.63,6,47260,443,,
Mar 31, 2026 07:59:47.836344225 PKT,192.168.100.39,13.107.246.63,6,47260,443,,
Mar 31, 2026 07:59:47.881815646 PKT,13.107.246.63,192.168.100.39,6,443,47260,,
Mar 31, 2026 07:59:47.881816511 PKT,13.107.246.63,192.168.100.39,6,443,47260,,
Mar 31, 2026 07:59:47.881964755 PKT,192.168.100.39,13.107.246.63,6,47260,443,,
Mar 31, 2026 07:59:47.883054987 PKT,192.168.100.39,13.107.246.63,6,47260,443,,
Mar 31, 2026 07:59:47.928745484 PKT,13.107.246.63,192.168.100.39,6,443,47260,,
Mar 31, 2026 07:59:47.928746400 PKT,13.107.246.63,192.168.100.39,6,443,47260,,
Mar 31, 2026 07:59:47.929080651 PKT,192.168.100.39,13.107.246.63,6,47260,443,,
Mar 31, 2026 07:59:47.929802415 PKT,13.107.246.63,192.168.100.39,6,443,47260,,
Mar 31, 2026 07:59:47.929802998 PKT,13.107.246.63,192.168.100.39,6,443,47260,,
Mar 31, 2026 07:59:47.930190598 PKT,13.107.246.63,192.168.100.39,6,443,47260,,
Mar 31, 2026 07:59:47.930969386 PKT,192.168.100.39,13.107.246.63,6,47260,443,,
Mar 31, 2026 07:59:47.932221070 PKT,192.168.100.39,13.107.246.63,6,47260,443,,
Mar 31, 2026 07:59:47.932821264 PKT,192.168.100.39,13.107.246.63,6,47260,443,,
Mar 31, 2026 07:59:47.933477101 PKT,192.168.100.39,13.107.246.63,6,47260,443,,
Mar 31, 2026 07:59:47.977123271 PKT,13.107.246.63,192.168.100.39,6,443,47260,,
Mar 31, 2026 07:59:47.977124181 PKT,13.107.246.63,192.168.100.39,6,443,47260,,
Mar 31, 2026 07:59:47.977443412 PKT,13.107.246.63,192.168.100.39,6,443,47260,,
Mar 31, 2026 07:59:47.977580658 PKT,192.168.100.39,13.107.246.63,6,47260,443,,
